City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Enshi,CN,2022-04-17 15:18:21,30.3,109.4833,49.5,94,100,1.14
1,Ulladulla,AU,2022-04-17 15:18:21,-35.35,150.4667,60.03,81,74,7.29
2,Atuona,PF,2022-04-17 15:18:22,-9.8,-139.0333,79.05,77,48,16.33
3,Evensk,RU,2022-04-17 15:18:22,61.95,159.2333,24.03,85,100,8.81
4,Ranot,TH,2022-04-17 15:18:23,7.7777,100.3213,83.91,77,67,7.74
5,Pisco,PE,2022-04-17 15:14:38,-13.7,-76.2167,67.01,77,0,8.05
6,Mataura,NZ,2022-04-17 15:18:24,-46.1927,168.8643,37.47,96,0,2.1
7,Montague,US,2022-04-17 15:18:24,42.5356,-72.5351,42.71,73,63,13.15
8,Busselton,AU,2022-04-17 15:18:24,-33.65,115.3333,55.35,70,16,5.14
9,Shimoda,JP,2022-04-17 15:18:25,34.6667,138.95,54.1,78,74,6.67
10,Mar Del Plata,AR,2022-04-17 15:15:50,-38.0023,-57.5575,69.82,86,40,5.99
11,Rikitea,PF,2022-04-17 15:18:26,-23.1203,-134.9692,77.99,66,4,11.86
12,Bambous Virieux,MU,2022-04-17 15:18:27,-20.3428,57.7575,79.21,94,40,6.91
13,Jamestown,US,2022-04-17 15:18:27,42.097,-79.2353,35.19,57,75,10.36
14,Sur,OM,2022-04-17 15:18:28,22.5667,59.5289,89.94,39,52,5.21
15,Moose Factory,CA,2022-04-17 15:18:28,51.2585,-80.6094,21.2,73,100,9.22
16,Ribeira Grande,PT,2022-04-17 15:18:29,38.5167,-28.7,64.8,55,20,18.41
17,Danilov,RU,2022-04-17 15:18:30,58.1908,40.1717,39.61,57,24,4.68
18,Akdepe,TM,2022-04-17 15:18:31,42.0551,59.3788,55.49,52,100,13.65
19,Hermanus,ZA,2022-04-17 15:18:31,-34.4187,19.2345,69.8,52,12,16.17
20,Yinchuan,CN,2022-04-17 15:18:32,38.4681,106.2731,47.19,41,1,16.78
21,Ushuaia,AR,2022-04-17 15:18:32,-54.8,-68.3,47.86,71,75,5.75
22,Luwuk,ID,2022-04-17 15:18:32,-0.9516,122.7875,77.4,83,99,2.19
23,Hobart,AU,2022-04-17 15:18:33,-42.8794,147.3294,64.26,73,40,0.0
24,Cherskiy,RU,2022-04-17 15:18:33,68.75,161.3,-1.21,99,100,5.86
25,Vaini,TO,2022-04-17 15:18:34,-21.2,-175.2,77.16,94,40,5.75
26,Carbonia,IT,2022-04-17 15:18:35,39.1672,8.5222,68.65,33,0,17.0
27,Puerto Ayora,EC,2022-04-17 15:17:57,-0.7393,-90.3518,75.16,85,95,7.54
28,Severo-Kurilsk,RU,2022-04-17 15:18:36,50.6789,156.125,29.16,80,41,11.81
29,Bredasdorp,ZA,2022-04-17 15:18:36,-34.5322,20.0403,66.47,56,0,11.79
30,Sola,VU,2022-04-17 15:18:36,-13.8833,167.55,81.61,73,84,5.41
31,Kavieng,PG,2022-04-17 15:18:37,-2.5744,150.7967,82.89,72,71,12.66
32,Kununurra,AU,2022-04-17 15:18:37,-15.7667,128.7333,76.98,88,14,0.0
33,Mareeba,AU,2022-04-17 15:18:37,-17.0,145.4333,70.52,91,82,2.48
34,Touros,BR,2022-04-17 15:14:14,-5.1989,-35.4608,86.22,63,97,10.4
35,Vila Franca Do Campo,PT,2022-04-17 15:18:38,37.7167,-25.4333,64.81,80,72,10.49
36,Ahipara,NZ,2022-04-17 15:18:39,-35.1667,173.1667,67.78,93,100,15.57
37,Sisimiut,GL,2022-04-17 15:18:39,66.9395,-53.6735,20.07,56,100,5.37
38,Airai,TL,2022-04-17 15:18:39,-8.9266,125.4092,60.93,93,100,1.61
39,Qaanaaq,GL,2022-04-17 15:18:40,77.484,-69.3632,-12.41,70,10,4.59
40,Sao Joao Da Barra,BR,2022-04-17 15:18:42,-21.6403,-41.0511,80.69,59,0,10.69
41,Talnakh,RU,2022-04-17 15:18:43,69.4865,88.3972,10.99,96,100,9.1
42,Yar-Sale,RU,2022-04-17 15:18:43,66.8333,70.8333,16.03,93,84,8.7
43,Bluff,NZ,2022-04-17 15:18:43,-46.6,168.3333,37.8,82,3,5.73
44,Thinadhoo,MV,2022-04-17 15:18:44,0.5333,72.9333,83.93,69,89,8.99
45,Cape Town,ZA,2022-04-17 15:19:44,-33.9258,18.4232,68.41,71,0,11.99
46,Butaritari,KI,2022-04-17 15:19:45,3.0707,172.7902,81.32,74,23,12.55
47,Torbay,CA,2022-04-17 15:19:45,47.6666,-52.7314,52.29,72,75,26.46
48,Omaha,US,2022-04-17 15:16:23,41.2586,-95.9378,40.41,60,100,12.66
49,Tuktoyaktuk,CA,2022-04-17 15:19:46,69.4541,-133.0374,3.2,66,100,6.91
50,Port Alfred,ZA,2022-04-17 15:19:46,-33.5906,26.891,68.18,76,96,7.05
51,Klaksvik,FO,2022-04-17 15:19:46,62.2266,-6.589,47.32,96,100,13.85
52,Punta Arenas,CL,2022-04-17 15:15:53,-53.15,-70.9167,46.51,93,75,6.91
53,Yatou,CN,2022-04-17 15:19:47,37.15,122.3833,53.31,50,100,6.55
54,Soyo,AO,2022-04-17 15:19:47,-6.1349,12.3689,82.9,77,81,9.98
