City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Vaitape,PF,81.16,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
265,Puerto Escondido,MX,81.72,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
266,Falam,MM,78.21,broken clouds,22.9167,93.6833,Falang Government Guesthouse
269,Honiara,SB,85.93,broken clouds,-9.4333,159.95,Heritage Park Hotel
280,Tual,ID,83.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
281,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
285,Meulaboh,ID,81.43,overcast clouds,4.1363,96.1285,Kost Pria
288,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
289,Luba,GQ,81.61,light rain,3.4568,8.5547,
290,Mahebourg,MU,75.25,thunderstorm with rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
292,Sri Aman,MY,86.31,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
296,Kutum,SD,76.71,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
303,Tagusao,PH,85.3,broken clouds,9.1924,117.8141,Green Villa beach resort
307,Kefamenanu,ID,82.89,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
308,Soe,ID,79.95,broken clouds,-9.8607,124.284,Dena Hotel
311,Puerto Ayacucho,VE,76.68,light rain,5.6639,-67.6236,Posada Turistica Manapiare
314,Mareeba,AU,81.45,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
319,Kavaratti,IN,83.35,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
320,Rockhampton,AU,82.29,clear sky,-23.3833,150.5,Mercure Rockhampton
326,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
335,Yarada,IN,84.52,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
342,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
344,Wagar,SD,86.77,clear sky,16.1525,36.2032,
346,Mogadishu,SO,82.4,overcast clouds,2.0371,45.3438,Hotel Juba
347,Kieta,PG,83.43,light rain,-6.2167,155.6333,Uruna Bay Retreat
348,Jaltenango,MX,76.15,overcast clouds,15.8719,-92.7247,Finca Jaltenango Hotel Boutique
358,Samarai,PG,81.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
367,Houma,US,75.99,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
370,Manokwari,ID,83.88,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
371,Sunrise Manor,US,85.51,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
377,Phuket,TH,86.22,few clouds,8.0,98.25,The Surin
405,Alofi,NU,81.57,overcast clouds,-19.0595,-169.9187,Taloa Heights
408,Kattivakkam,IN,87.89,few clouds,13.2167,80.3167,Euronova Freezer
413,Wewak,PG,84.27,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
